time,user,phone
2005-11-15 07:48:28 +0100,john,2134565488
2005-02-03 03:45:45 +0100,alfred,2134578695
2005-01-11 20:36:12 +0100,yot,2135469571
2005-11-25 07:48:31 +0100,niero,12345678956
2005-11-03 07:19:56 +0100,jiet,45556647889
2005-10-07 06:55:05 +0100,alissa,4568524658
2005-11-15 20:07:08 +0100,frieza,9879797877
2005-05-23 03:36:22 +0100,buu,4545445877
2005-01-17 13:12:54 +0100,lee,97975777877997
2005-12-30 20:09:19 +0100,toya,8977
2005-04-19 06:55:16 +0100,anni,97797879
2005-09-01 13:40:00 +0100,lidia,5464465466
2005-11-08 13:12:02 +0100,lutha,6456645644664664
2005-12-13 20:09:48 +0100,freako,11111111111
2005-11-26 02:09:08 +0100,bastam,1214358987
2005-05-09 00:14:38 +0100,januzs,45556647889
2005-11-03 10:50:28 +0100,rola,8977
2005-11-04 20:31:18 +0100,anna,45556647889
2005-06-03 07:04:06 +0100,bujee,8977
2005-11-22 05:31:15 +0100,jeebuu,8977
2005-11-21 05:16:21 +0100,luther,45556647889
2005-10-24 00:28:33 +0100,anthem,97975777877997
2005-11-14 07:48:36 +0100,atrilas,97975777877997
2005-11-20 20:12:24 +0100,santi,2134578695
2005-02-28 05:16:34 +0100,gotham,97975777877997
2005-11-04 13:26:22 +0100,lova ,2134578695
2005-11-05 12:26:48 +0100,frusto,9879797877
2005-12-06 20:24:10 +0100,emma,9879797877
2005-08-07 06:12:11 +0100,lora,2134578695
2005-11-12 20:37:01 +0100,andi,9879797877
2005-10-22 22:37:52 +0100,andio,9879797877
